('0400081000', '2424300860', '2424300960', '0', '191.0', '2016-12-11 10:56:25')
('0400081000', '2424300860', '2424300960', '0', '34.0', '2016-12-11 10:06:28')
('0400081000', '2424300920', '2424300810', '1', '183.0', '2016-12-11 10:14:38')
('0400081000', '2424300920', '2424300810', '1', '475.0', '2016-12-11 10:44:09')
('0400081000', '2424300960', '2424301260', '0', '0.0', '2016-12-11 09:59:44')
('0400081000', '2424300960', '2424301260', '0', '0.0', '2016-12-11 10:54:14')
('0400081000', '2424300960', '2424301260', '0', '36.0', '2016-12-11 10:38:02')
('0400081000', '2424300960', '2424301260', '0', '39.0', '2016-12-11 10:07:07')
('0400081000', '2424301220', '2424300920', '1', '0.0', '2016-12-11 10:11:35')
('0400081000', '2424301220', '2424300920', '1', '0.0', '2016-12-11 10:36:14')
('0400081000', '2424301260', '2424300660', '0', '0.0', '2016-12-11 09:59:44')
('0400081000', '2424301260', '2424300660', '0', '0.0', '2016-12-11 10:38:02')
('0400081000', '2424301260', '2424300660', '0', '205.0', '2016-12-11 10:10:32')
('0400081000', '2424301260', '2424300660', '0', '248.0', '2016-12-11 10:58:22')
('0400081000', '2425500020', '2425701620', '1', '0.0', '2016-12-11 10:04:17')
('0400081000', '2425500020', '2425701620', '1', '571.0', '2016-12-11 10:36:14')
('0400081000', '2425500060', '2425600340', '0', '0.0', '2016-12-11 10:04:17')
('0400081000', '2425500060', '2425600340', '0', '0.0', '2016-12-11 10:44:09')
('0400081000', '2425500060', '2425600340', '0', '26.0', '2016-12-11 10:13:58')
('0400081000', '2425500220', '2425500420', '1', '1464.0', '2016-12-11 10:34:56')
('0400081000', '2425500220', '2425500420', '1', '65.0', '2016-12-11 10:40:41')
('0400081000', '2425500260', '2425500562', '0', '26.0', '2016-12-11 10:58:48')
('0400081000', '2425500260', '2425500562', '0', '29.0', '2016-12-11 10:01:41')
('0400081000', '2425500260', '2425500562', '0', '34.0', '2016-12-11 10:11:06')
('0400081000', '2425500260', '2425500562', '0', '39.0', '2016-12-11 10:43:11')
('0400081000', '2425500420', '2424301220', '1', '345.0', '2016-12-11 10:40:41')
('0400081000', '2425500562', '2425701660', '0', '31.0', '2016-12-11 10:59:19')
('0400081000', '2425500562', '2425701660', '0', '55.0', '2016-12-11 10:12:01')
('0400081000', '2425500562', '2425701660', '0', '58.0', '2016-12-11 10:44:09')
('0400081000', '2425500562', '2425701660', '0', '63.0', '2016-12-11 10:02:44')
('0400081000', '2425600300', '2425500020', '1', '0.0', '2016-12-11 10:04:17')
('0400081000', '2425600300', '2425500020', '1', '0.0', '2016-12-11 10:26:43')
('0400081000', '2425600340', '2425701740', '0', '124.0', '2016-12-11 10:46:13')
('0400081000', '2425600340', '2425701740', '0', '217.0', '2016-12-11 10:07:54')
('0400081000', '2425600340', '2425701740', '0', '40.0', '2016-12-11 10:14:38')
('0400081000', '2425600600', '2425600300', '1', '0.0', '2016-12-11 10:30:26')
('0400081000', '2425600600', '2425600300', '1', '247.0', '2016-12-11 10:04:17')
('0400081000', '2425700100', '2425600600', '1', '468.0', '2016-12-11 10:30:26')
('0400081000', '2425700140', '2424300740', '0', '0.0', '2016-12-11 10:18:15')
('0400081000', '2425700140', '2424300740', '0', '2507.0', '2016-12-11 10:50:09')
('0400081000', '2425700900', '2425700100', '1', '0.0', '2016-12-11 10:26:43')
('0400081000', '2425700900', '2425700100', '1', '154.0', '2016-12-11 10:22:38')
('0400081000', '2425701620', '2425800420', '1', '234.0', '2016-12-11 10:40:08')
('0400081000', '2425701620', '2425800420', '1', '375.0', '2016-12-11 10:10:32')
('0400081000', '2425701660', '2425500060', '0', '0.0', '2016-12-11 10:44:09')
('0400081000', '2425701660', '2425500060', '0', '224.0', '2016-12-11 10:06:28')
('0400081000', '2425701660', '2425500060', '0', '91.0', '2016-12-11 10:13:32')
('0400081000', '2425701740', '2425700140', '0', '117.0', '2016-12-11 10:48:10')
('0400081000', '2425701740', '2425700140', '0', '217.0', '2016-12-11 10:18:15')
('0400081000', '2425701740', '2425700140', '0', '28.0', '2016-12-11 10:08:22')
('0400081000', '2425800420', '2425500220', '1', '0.0', '2016-12-11 10:10:32')
('0400081000', '2425800420', '2425500220', '1', '0.0', '2016-12-11 10:39:36')
('0400081000', '3335000020', '3335000320', '1', '0.0', '2016-12-11 10:57:19')
('0400081000', '3335000020', '3335000320', '1', '188.0', '2016-12-11 10:18:15')
('0400081000', '3335000020', '3335000320', '1', '62.0', '2016-12-11 10:23:08')
('0400081000', '3335000220', '3335100120', '1', '159.0', '2016-12-11 10:19:10')
('0400081000', '3335000220', '3335100120', '1', '34.0', '2016-12-11 10:58:22')
('0400081000', '3335000220', '3335100120', '1', '62.0', '2016-12-11 10:24:10')
